original | epoch 1 | top1=0.0052 top2=0.0104 top3=0.0156 top4=0.0208 top5=0.0258 loss=0.170265 time=462.83s
original | epoch 2 | top1=0.0207 top2=0.0370 top3=0.0511 top4=0.0644 top5=0.0764 loss=0.160029 time=462.19s
original | epoch 3 | top1=0.0328 top2=0.0556 top3=0.0747 top4=0.0912 top5=0.1062 loss=0.155521 time=462.99s
original | epoch 4 | top1=0.0319 top2=0.0545 top3=0.0734 top4=0.0903 top5=0.1062 loss=0.155728 time=463.34s
original | epoch 5 | top1=0.0307 top2=0.0541 top3=0.0736 top4=0.0910 top5=0.1071 loss=0.155712 time=462.93s
original | epoch 6 | top1=0.0348 top2=0.0584 top3=0.0778 top4=0.0960 top5=0.1120 loss=0.154797 time=463.13s
original | epoch 7 | top1=0.0367 top2=0.0621 top3=0.0836 top4=0.1019 top5=0.1182 loss=0.154468 time=463.21s
original | epoch 8 | top1=0.0382 top2=0.0639 top3=0.0856 top4=0.1039 top5=0.1203 loss=0.154087 time=463.13s
original | epoch 9 | top1=0.0345 top2=0.0579 top3=0.0772 top4=0.0940 top5=0.1095 loss=0.155222 time=463.20s
original | epoch 10 | top1=0.0391 top2=0.0650 top3=0.0872 top4=0.1063 top5=0.1220 loss=0.153470 time=463.29s
original | epoch 11 | top1=0.0454 top2=0.0736 top3=0.0960 top4=0.1149 top5=0.1325 loss=0.151574 time=463.17s
original | epoch 12 | top1=0.0526 top2=0.0845 top3=0.1110 top4=0.1328 top5=0.1519 loss=0.149338 time=463.39s
original | epoch 13 | top1=0.0611 top2=0.0968 top3=0.1229 top4=0.1462 top5=0.1675 loss=0.146945 time=463.38s
original | epoch 14 | top1=0.0665 top2=0.1031 top3=0.1317 top4=0.1557 top5=0.1766 loss=0.145412 time=463.69s
original | epoch 15 | top1=0.0714 top2=0.1106 top3=0.1405 top4=0.1652 top5=0.1865 loss=0.144390 time=463.63s
original | epoch 16 | top1=0.0773 top2=0.1191 top3=0.1493 top4=0.1730 top5=0.1953 loss=0.142728 time=463.60s
original | epoch 17 | top1=0.0820 top2=0.1247 top3=0.1561 top4=0.1822 top5=0.2043 loss=0.141682 time=463.48s
original | epoch 18 | top1=0.0844 top2=0.1278 top3=0.1606 top4=0.1871 top5=0.2092 loss=0.140074 time=463.59s
