original | epoch 1 | top1=0.0050 top2=0.0100 top3=0.0147 top4=0.0199 top5=0.0246 loss=0.085388 time=431.44s
original | epoch 2 | top1=0.0181 top2=0.0330 top3=0.0455 top4=0.0567 top5=0.0674 loss=0.080696 time=428.89s
original | epoch 3 | top1=0.0316 top2=0.0540 top3=0.0718 top4=0.0880 top5=0.1032 loss=0.078261 time=430.91s
original | epoch 4 | top1=0.0336 top2=0.0563 top3=0.0752 top4=0.0921 top5=0.1069 loss=0.077753 time=430.76s
original | epoch 5 | top1=0.0330 top2=0.0556 top3=0.0740 top4=0.0906 top5=0.1067 loss=0.077830 time=428.29s
original | epoch 6 | top1=0.0337 top2=0.0568 top3=0.0756 top4=0.0927 top5=0.1081 loss=0.077572 time=430.74s
original | epoch 7 | top1=0.0367 top2=0.0614 top3=0.0823 top4=0.1002 top5=0.1158 loss=0.077529 time=430.11s
original | epoch 8 | top1=0.0373 top2=0.0615 top3=0.0824 top4=0.1001 top5=0.1165 loss=0.077020 time=430.97s
original | epoch 9 | top1=0.0399 top2=0.0662 top3=0.0879 top4=0.1056 top5=0.1228 loss=0.076578 time=430.43s
original | epoch 10 | top1=0.0443 top2=0.0729 top3=0.0953 top4=0.1147 top5=0.1325 loss=0.075842 time=430.88s
original | epoch 11 | top1=0.0519 top2=0.0825 top3=0.1071 top4=0.1274 top5=0.1461 loss=0.074963 time=429.94s
original | epoch 12 | top1=0.0584 top2=0.0916 top3=0.1178 top4=0.1397 top5=0.1577 loss=0.074013 time=430.47s
original | epoch 13 | top1=0.0663 top2=0.1033 top3=0.1317 top4=0.1548 top5=0.1745 loss=0.073104 time=430.46s
original | epoch 14 | top1=0.0695 top2=0.1077 top3=0.1367 top4=0.1606 top5=0.1813 loss=0.072282 time=428.22s
original | epoch 15 | top1=0.0774 top2=0.1191 top3=0.1507 top4=0.1754 top5=0.1965 loss=0.071371 time=427.88s
original | epoch 16 | top1=0.0784 top2=0.1197 top3=0.1499 top4=0.1745 top5=0.1963 loss=0.070990 time=431.27s
original | epoch 17 | top1=0.0875 top2=0.1305 top3=0.1613 top4=0.1871 top5=0.2088 loss=0.070329 time=431.69s
original | epoch 18 | top1=0.0925 top2=0.1380 top3=0.1706 top4=0.1973 top5=0.2199 loss=0.069568 time=429.92s
original | epoch 19 | top1=0.0931 top2=0.1378 top3=0.1705 top4=0.1966 top5=0.2191 loss=0.068935 time=429.64s
original | epoch 20 | top1=0.0962 top2=0.1409 top3=0.1731 top4=0.1993 top5=0.2217 loss=0.068412 time=427.73s
original | epoch 21 | top1=0.1042 top2=0.1534 top3=0.1881 top4=0.2161 top5=0.2397 loss=0.068014 time=429.51s
original | epoch 22 | top1=0.1098 top2=0.1603 top3=0.1954 top4=0.2230 top5=0.2462 loss=0.066948 time=430.01s
original | epoch 23 | top1=0.1137 top2=0.1648 top3=0.2009 top4=0.2294 top5=0.2528 loss=0.066527 time=430.69s
original | epoch 24 | top1=0.1230 top2=0.1764 top3=0.2130 top4=0.2423 top5=0.2661 loss=0.066023 time=429.64s
original | epoch 25 | top1=0.1254 top2=0.1792 top3=0.2161 top4=0.2434 top5=0.2674 loss=0.065439 time=429.55s
original | epoch 26 | top1=0.1293 top2=0.1847 top3=0.2207 top4=0.2499 top5=0.2741 loss=0.064860 time=430.03s
