original | epoch 1 | top1=0.0713 top2=0.1250 top3=0.1698 top4=0.2062 top5=0.2400 loss=0.063894 time=9.94s
original | epoch 2 | top1=0.1368 top2=0.2178 top3=0.2828 top4=0.3354 top5=0.3775 loss=0.056721 time=9.84s
original | epoch 3 | top1=0.1766 top2=0.2713 top3=0.3421 top4=0.3997 top5=0.4456 loss=0.053275 time=9.94s
original | epoch 4 | top1=0.2083 top2=0.3127 top3=0.3895 top4=0.4458 top5=0.4929 loss=0.050649 time=9.91s
original | epoch 5 | top1=0.2295 top2=0.3413 top3=0.4187 top4=0.4786 top5=0.5256 loss=0.048739 time=9.87s
original | epoch 6 | top1=0.2496 top2=0.3648 top3=0.4440 top4=0.5026 top5=0.5493 loss=0.047114 time=9.84s
original | epoch 7 | top1=0.2663 top2=0.3843 top3=0.4657 top4=0.5250 top5=0.5712 loss=0.045744 time=9.93s
original | epoch 8 | top1=0.2842 top2=0.4058 top3=0.4871 top4=0.5471 top5=0.5922 loss=0.044472 time=9.89s
original | epoch 9 | top1=0.2974 top2=0.4231 top3=0.5038 top4=0.5620 top5=0.6081 loss=0.043317 time=9.89s
original | epoch 10 | top1=0.3117 top2=0.4390 top3=0.5233 top4=0.5799 top5=0.6247 loss=0.042141 time=9.93s
original | epoch 11 | top1=0.3252 top2=0.4548 top3=0.5390 top4=0.5982 top5=0.6429 loss=0.041094 time=9.94s
original | epoch 12 | top1=0.3390 top2=0.4743 top3=0.5569 top4=0.6138 top5=0.6579 loss=0.039988 time=9.84s
original | epoch 13 | top1=0.3516 top2=0.4869 top3=0.5695 top4=0.6291 top5=0.6730 loss=0.039111 time=9.86s
original | epoch 14 | top1=0.3624 top2=0.4986 top3=0.5851 top4=0.6420 top5=0.6842 loss=0.038238 time=9.81s
original | epoch 15 | top1=0.3732 top2=0.5107 top3=0.5943 top4=0.6535 top5=0.6954 loss=0.037521 time=9.88s
original | epoch 16 | top1=0.3841 top2=0.5215 top3=0.6052 top4=0.6627 top5=0.7042 loss=0.036790 time=9.83s
original | epoch 17 | top1=0.3937 top2=0.5337 top3=0.6164 top4=0.6723 top5=0.7128 loss=0.036004 time=9.78s
original | epoch 18 | top1=0.4021 top2=0.5431 top3=0.6227 top4=0.6788 top5=0.7202 loss=0.035491 time=9.89s
original | epoch 19 | top1=0.4102 top2=0.5514 top3=0.6341 top4=0.6904 top5=0.7305 loss=0.034814 time=9.85s
original | epoch 20 | top1=0.4147 top2=0.5572 top3=0.6402 top4=0.6945 top5=0.7346 loss=0.034417 time=9.84s
original | epoch 21 | top1=0.4222 top2=0.5663 top3=0.6499 top4=0.7047 top5=0.7458 loss=0.033862 time=9.86s
original | epoch 22 | top1=0.4321 top2=0.5745 top3=0.6558 top4=0.7102 top5=0.7495 loss=0.033308 time=9.87s
original | epoch 23 | top1=0.4376 top2=0.5808 top3=0.6642 top4=0.7174 top5=0.7566 loss=0.032850 time=9.84s
original | epoch 24 | top1=0.4421 top2=0.5861 top3=0.6707 top4=0.7258 top5=0.7654 loss=0.032256 time=9.90s
original | epoch 25 | top1=0.4501 top2=0.5963 top3=0.6768 top4=0.7301 top5=0.7690 loss=0.031807 time=9.87s
original | epoch 26 | top1=0.4617 top2=0.6040 top3=0.6844 top4=0.7370 top5=0.7740 loss=0.031368 time=9.88s
original | epoch 27 | top1=0.4669 top2=0.6112 top3=0.6923 top4=0.7439 top5=0.7808 loss=0.030886 time=9.89s
original | epoch 28 | top1=0.4708 top2=0.6157 top3=0.6965 top4=0.7493 top5=0.7856 loss=0.030458 time=9.89s
original | epoch 29 | top1=0.4724 top2=0.6213 top3=0.7008 top4=0.7516 top5=0.7883 loss=0.030246 time=9.89s
original | epoch 30 | top1=0.4780 top2=0.6233 top3=0.7044 top4=0.7563 top5=0.7924 loss=0.029882 time=9.86s
original | epoch 31 | top1=0.4825 top2=0.6287 top3=0.7091 top4=0.7605 top5=0.7972 loss=0.029536 time=9.83s
original | epoch 32 | top1=0.4903 top2=0.6365 top3=0.7155 top4=0.7675 top5=0.8033 loss=0.029121 time=9.88s
original | epoch 33 | top1=0.4918 top2=0.6401 top3=0.7169 top4=0.7687 top5=0.8051 loss=0.028950 time=9.84s
original | epoch 34 | top1=0.4970 top2=0.6442 top3=0.7229 top4=0.7747 top5=0.8108 loss=0.028561 time=9.86s
original | epoch 35 | top1=0.5010 top2=0.6472 top3=0.7240 top4=0.7746 top5=0.8095 loss=0.028402 time=9.87s
original | epoch 36 | top1=0.5048 top2=0.6509 top3=0.7301 top4=0.7803 top5=0.8141 loss=0.027975 time=9.81s
original | epoch 37 | top1=0.5077 top2=0.6547 top3=0.7335 top4=0.7823 top5=0.8163 loss=0.027818 time=9.88s
original | epoch 38 | top1=0.5110 top2=0.6580 top3=0.7355 top4=0.7849 top5=0.8199 loss=0.027542 time=9.90s
original | epoch 39 | top1=0.5125 top2=0.6606 top3=0.7397 top4=0.7895 top5=0.8234 loss=0.027363 time=9.84s
original | epoch 40 | top1=0.5176 top2=0.6649 top3=0.7422 top4=0.7914 top5=0.8250 loss=0.027128 time=9.87s
original | epoch 41 | top1=0.5203 top2=0.6704 top3=0.7473 top4=0.7968 top5=0.8293 loss=0.026900 time=9.87s
