Train epoch 1: top1=0.04203333333134651%, top2=0.0723133310675621%, top3=0.09782999753952026%, top4=0.12024666368961334%, top5=0.14005333185195923%, loss=4.842152341030563, time=1708.1457407474518s
Train epoch 2: top1=0.10935000330209732%, top2=0.17034000158309937%, top3=0.21520332992076874%, top4=0.2525566518306732%, top5=0.2844499945640564%, loss=4.27759924093611, time=1681.7624912261963s
Train epoch 3: top1=0.14913000166416168%, top2=0.22202666103839874%, top3=0.27436333894729614%, top4=0.31575000286102295%, top5=0.3500233292579651%, loss=4.00737946310141, time=1678.0699269771576s
Train epoch 4: top1=0.1875399947166443%, top2=0.27304333448410034%, top3=0.33203667402267456%, top4=0.3777633309364319%, top5=0.41433998942375183%, loss=3.729965480368699, time=1680.4951417446136s
Train epoch 5: top1=0.225040003657341%, top2=0.3190666735172272%, top3=0.3825966715812683%, top4=0.4299033284187317%, top5=0.46875667572021484%, loss=3.4871635368863063, time=1680.3867511749268s
Train epoch 6: top1=0.25481998920440674%, top2=0.356246680021286%, top3=0.4232400059700012%, top4=0.47219666838645935%, top5=0.5114200115203857%, loss=3.296916253432479, time=1680.9082503318787s
Train epoch 7: top1=0.286246657371521%, top2=0.39368999004364014%, top3=0.46160000562667847%, top4=0.510836660861969%, top5=0.5511599779129028%, loss=3.1131559811252782, time=1680.8023278713226s
Train epoch 8: top1=0.31642332673072815%, top2=0.42976999282836914%, top3=0.49864667654037476%, top4=0.5485833287239075%, top5=0.5874033570289612%, loss=2.941620320844569, time=1682.4735789299011s
Train epoch 9: top1=0.3459933400154114%, top2=0.46286332607269287%, top3=0.5329800248146057%, top4=0.5827366709709167%, top5=0.6215599775314331%, loss=2.7770489226174844, time=1681.0790779590607s
Train epoch 10: top1=0.37423667311668396%, top2=0.4943599998950958%, top3=0.5650233030319214%, top4=0.6149699687957764%, top5=0.6521999835968018%, loss=2.623706706198816, time=1681.8832137584686s
Train epoch 11: top1=0.4034166634082794%, top2=0.5267833471298218%, top3=0.5974133610725403%, top4=0.6459433436393738%, top5=0.6821366548538208%, loss=2.468565343513627, time=1682.1652925014496s
Train epoch 12: top1=0.43398332595825195%, top2=0.5600533485412598%, top3=0.630050003528595%, top4=0.6777633428573608%, top5=0.7129866480827332%, loss=2.3058896310398604, time=1681.8178911209106s
Train epoch 13: top1=0.46401333808898926%, top2=0.5926899909973145%, top3=0.6630799770355225%, top4=0.710433304309845%, top5=0.7443466782569885%, loss=2.1455887295941443, time=1680.8172116279602s
Train epoch 14: top1=0.4959566593170166%, top2=0.6268200278282166%, top3=0.696096658706665%, top4=0.741433322429657%, top5=0.7738999724388123%, loss=1.9831600901718434, time=1681.9278798103333s
Train epoch 15: top1=0.5312299728393555%, top2=0.6624000072479248%, top3=0.7307966351509094%, top4=0.774066686630249%, top5=0.8048133254051208%, loss=1.8107446234279119, time=1683.90789270401s
Train epoch 16: top1=0.5669933557510376%, top2=0.6997666358947754%, top3=0.7657433152198792%, top4=0.8065333366394043%, top5=0.8346733450889587%, loss=1.6348766799723735, time=1682.064436674118s
Train epoch 17: top1=0.6058899760246277%, top2=0.7382533550262451%, top3=0.8012233376502991%, top4=0.839473307132721%, top5=0.8656033277511597%, loss=1.4519933403784302, time=1684.6804420948029s
Train epoch 18: top1=0.6456000208854675%, top2=0.7756099700927734%, top3=0.8349599838256836%, top4=0.8693466782569885%, top5=0.8930833339691162%, loss=1.2754851191752803, time=1683.296490907669s
Train epoch 19: top1=0.683346688747406%, top2=0.8101166486740112%, top3=0.8656566739082336%, top4=0.8969066739082336%, top5=0.9169600009918213%, loss=1.1109962643413414, time=1681.1672060489655s
Train epoch 20: top1=0.7198566794395447%, top2=0.8409966826438904%, top3=0.8920499682426453%, top4=0.9196166396141052%, top5=0.9371733069419861%, loss=0.960412326469102, time=1684.9321076869965s
Train epoch 21: top1=0.7510233521461487%, top2=0.8681033253669739%, top3=0.9137799739837646%, top4=0.9383233189582825%, top5=0.9527933597564697%, loss=0.833225501249878, time=1684.0837926864624s
Train epoch 22: top1=0.7806933522224426%, top2=0.8897833228111267%, top3=0.9304500222206116%, top4=0.9516833424568176%, top5=0.9641433358192444%, loss=0.7230646189670921, time=1680.978443145752s
Train epoch 23: top1=0.805786669254303%, top2=0.9084433317184448%, top3=0.9447633028030396%, top4=0.9627400040626526%, top5=0.9728166460990906%, loss=0.6294208042158304, time=1683.482792854309s
Train epoch 24: top1=0.8264200091362%, top2=0.9218966364860535%, top3=0.9543466567993164%, top4=0.9701033234596252%, top5=0.9787300229072571%, loss=0.5582552371997984, time=1682.127474308014s
Train epoch 25: top1=0.8433499932289124%, top2=0.9335700273513794%, top3=0.962036669254303%, top4=0.9756566882133484%, top5=0.983210027217865%, loss=0.49738455704912393, time=1683.7451746463776s
Train epoch 26: top1=0.8584966659545898%, top2=0.9424099922180176%, top3=0.9687166810035706%, top4=0.9801999926567078%, top5=0.986519992351532%, loss=0.44973817617400413, time=1683.696040391922s
Train epoch 27: top1=0.8714066743850708%, top2=0.9495933055877686%, top3=0.9730366468429565%, top4=0.9833466410636902%, top5=0.9888666868209839%, loss=0.40745485595621345, time=1681.4148004055023s
Train epoch 28: top1=0.8819133043289185%, top2=0.9543499946594238%, top3=0.9762033224105835%, top4=0.9856633543968201%, top5=0.9906333088874817%, loss=0.3733661476929542, time=1682.8012483119965s
Train epoch 29: top1=0.8900633454322815%, top2=0.95920330286026%, top3=0.9793199896812439%, top4=0.987529993057251%, top5=0.9919566512107849%, loss=0.34426313731581, time=1681.534701347351s
Train epoch 30: top1=0.8974733352661133%, top2=0.9636033177375793%, top3=0.9819200038909912%, top4=0.9891899824142456%, top5=0.9930466413497925%, loss=0.3199832776089361, time=1682.9623007774353s
Train epoch 31: top1=0.9040666818618774%, top2=0.9666900038719177%, top3=0.9834633469581604%, top4=0.990256667137146%, top5=0.9936100244522095%, loss=0.298962416234601, time=1680.6605813503265s
Train epoch 32: top1=0.9105700254440308%, top2=0.969706654548645%, top3=0.9851133227348328%, top4=0.9913033246994019%, top5=0.994533360004425%, loss=0.2790330587496898, time=1683.0166659355164s
Train epoch 33: top1=0.9154199957847595%, top2=0.9718666672706604%, top3=0.9863066673278809%, top4=0.992169976234436%, top5=0.9950166344642639%, loss=0.26431050560033464, time=1682.077184677124s
Train epoch 34: top1=0.9206366539001465%, top2=0.9741733074188232%, top3=0.9875800013542175%, top4=0.9927933216094971%, top5=0.9953133463859558%, loss=0.2478113499916645, time=1683.5727558135986s
Train epoch 35: top1=0.9238899946212769%, top2=0.9759933352470398%, top3=0.9885966777801514%, top4=0.9934066534042358%, top5=0.995846688747406%, loss=0.2363492893376912, time=1683.118717432022s
Train epoch 36: top1=0.9280033111572266%, top2=0.9774366617202759%, top3=0.989436686038971%, top4=0.9940199851989746%, top5=0.996233344078064%, loss=0.22473482442892606, time=1683.4878461360931s
Train epoch 37: top1=0.9312099814414978%, top2=0.9785133600234985%, top3=0.9899966716766357%, top4=0.9943833351135254%, top5=0.9966599941253662%, loss=0.21361461038655147, time=1683.8518710136414s
Train epoch 38: top1=0.9346933364868164%, top2=0.9799133539199829%, top3=0.9907000064849854%, top4=0.9948933124542236%, top5=0.9967566728591919%, loss=0.2049173859497151, time=1682.5736372470856s
Train epoch 39: top1=0.9366666674613953%, top2=0.9809666872024536%, top3=0.9911900162696838%, top4=0.9950533509254456%, top5=0.9969499707221985%, loss=0.1961222687730591, time=1682.3749940395355s
Train epoch 40: top1=0.939633309841156%, top2=0.982283353805542%, top3=0.9919899702072144%, top4=0.9955800175666809%, top5=0.9972500205039978%, loss=0.1889780217548435, time=1683.6913394927979s
Train epoch 41: top1=0.9415666460990906%, top2=0.982853353023529%, top3=0.9922033548355103%, top4=0.9956966638565063%, top5=0.9973300099372864%, loss=0.18149739022743364, time=1683.1297934055328s
Train epoch 42: top1=0.9445733428001404%, top2=0.9840999841690063%, top3=0.9927233457565308%, top4=0.9961333274841309%, top5=0.9977499842643738%, loss=0.17316513750765714, time=1683.875770330429s
Train epoch 43: top1=0.945443332195282%, top2=0.9848066568374634%, top3=0.9931833148002625%, top4=0.9961933493614197%, top5=0.9976766705513%, loss=0.16813856695000712, time=1682.8358705043793s
Train epoch 44: top1=0.9477099776268005%, top2=0.9850900173187256%, top3=0.9934066534042358%, top4=0.9964433312416077%, top5=0.9978633522987366%, loss=0.16239449178876272, time=1681.4509992599487s
Train epoch 45: top1=0.9495366811752319%, top2=0.9858633279800415%, top3=0.9937166571617126%, top4=0.9965766668319702%, top5=0.9979466795921326%, loss=0.156902302763784, time=1683.5546028614044s
Train epoch 46: top1=0.9505133032798767%, top2=0.9860133528709412%, top3=0.994106650352478%, top4=0.9968833327293396%, top5=0.9980833530426025%, loss=0.15294959272795164, time=1681.9694554805756s
Train epoch 47: top1=0.9520866870880127%, top2=0.9869833588600159%, top3=0.9943066835403442%, top4=0.9969433546066284%, top5=0.9981266856193542%, loss=0.14826212933161073, time=1682.0750830173492s
Train epoch 48: top1=0.9536766409873962%, top2=0.9874533414840698%, top3=0.9946600198745728%, top4=0.9971833229064941%, top5=0.9983266592025757%, loss=0.14328528886264405, time=1682.6692116260529s
Train epoch 49: top1=0.9549099802970886%, top2=0.9876899719238281%, top3=0.9946433305740356%, top4=0.9971033334732056%, top5=0.9982733130455017%, loss=0.1405273410112203, time=1682.9684977531433s
Train epoch 50: top1=0.9560499787330627%, top2=0.9885366559028625%, top3=0.9952033162117004%, top4=0.9974366426467896%, top5=0.9984700083732605%, loss=0.13539373127381243, time=1682.5000836849213s
Train epoch 51: top1=0.9575733542442322%, top2=0.9888666868209839%, top3=0.9953533411026001%, top4=0.9976333379745483%, top5=0.998520016670227%, loss=0.13094784318616076, time=1681.31796002388s
Train epoch 52: top1=0.9579333066940308%, top2=0.9890833497047424%, top3=0.9953500032424927%, top4=0.9975100159645081%, top5=0.9984833598136902%, loss=0.1296053234475455, time=1681.9026217460632s
Train epoch 53: top1=0.9591900110244751%, top2=0.9895300269126892%, top3=0.9956033229827881%, top4=0.9977399706840515%, top5=0.9986266493797302%, loss=0.12541133703790294, time=1680.8347761631012s
Train epoch 54: top1=0.9602233171463013%, top2=0.9894933104515076%, top3=0.9955466389656067%, top4=0.9977566599845886%, top5=0.9987033605575562%, loss=0.12375429658073799, time=1681.7281665802002s
Train epoch 55: top1=0.9606900215148926%, top2=0.9900466799736023%, top3=0.995793342590332%, top4=0.9978799819946289%, top5=0.9987266659736633%, loss=0.12033008018326978, time=1683.4715938568115s
Train epoch 56: top1=0.962203323841095%, top2=0.9903600215911865%, top3=0.9958533048629761%, top4=0.9978933334350586%, top5=0.9987900257110596%, loss=0.11741636530555778, time=1682.8635680675507s
Train epoch 57: top1=0.9631966352462769%, top2=0.9908900260925293%, top3=0.9961433410644531%, top4=0.9979566931724548%, top5=0.9987000226974487%, loss=0.11410686679817371, time=1682.8565061092377s
Train epoch 58: top1=0.9637933373451233%, top2=0.9905700087547302%, top3=0.9959766864776611%, top4=0.9979033470153809%, top5=0.9987633228302002%, loss=0.11301347410372688, time=1683.084834575653s
Train epoch 59: top1=0.9645466804504395%, top2=0.9912566542625427%, top3=0.9962666630744934%, top4=0.998116672039032%, top5=0.9989399909973145%, loss=0.10986724220066882, time=1682.676017999649s
Train epoch 60: top1=0.965553343296051%, top2=0.9917600154876709%, top3=0.996666669845581%, top4=0.9982433319091797%, top5=0.9989299774169922%, loss=0.10699465355570444, time=1681.6758165359497s
