tensorized | epoch 1 | top1=0.0050 top2=0.0100 top3=0.0150 top4=0.0200 top5=0.0250 loss=0.085177 time=613.71s
tensorized | epoch 2 | top1=0.0046 top2=0.0093 top3=0.0138 top4=0.0186 top5=0.0235 loss=0.083024 time=575.26s
tensorized | epoch 3 | top1=0.0048 top2=0.0094 top3=0.0143 top4=0.0190 top5=0.0236 loss=0.082868 time=581.34s
tensorized | epoch 4 | top1=0.0072 top2=0.0141 top3=0.0215 top4=0.0281 top5=0.0351 loss=0.082259 time=581.37s
tensorized | epoch 5 | top1=0.0116 top2=0.0220 top3=0.0311 top4=0.0404 top5=0.0486 loss=0.081357 time=574.20s
tensorized | epoch 6 | top1=0.0182 top2=0.0330 top3=0.0469 top4=0.0597 top5=0.0717 loss=0.080150 time=580.48s
tensorized | epoch 7 | top1=0.0231 top2=0.0412 top3=0.0570 top4=0.0713 top5=0.0849 loss=0.079292 time=581.65s
tensorized | epoch 8 | top1=0.0266 top2=0.0473 top3=0.0649 top4=0.0811 top5=0.0956 loss=0.078624 time=581.65s
tensorized | epoch 9 | top1=0.0318 top2=0.0550 top3=0.0751 top4=0.0915 top5=0.1070 loss=0.078144 time=576.52s
tensorized | epoch 10 | top1=0.0335 top2=0.0566 top3=0.0758 top4=0.0931 top5=0.1085 loss=0.077845 time=581.82s
tensorized | epoch 11 | top1=0.0368 top2=0.0615 top3=0.0820 top4=0.1006 top5=0.1169 loss=0.077471 time=581.26s
tensorized | epoch 12 | top1=0.0390 top2=0.0641 top3=0.0845 top4=0.1031 top5=0.1204 loss=0.077128 time=581.11s
tensorized | epoch 13 | top1=0.0414 top2=0.0675 top3=0.0892 top4=0.1082 top5=0.1255 loss=0.076768 time=581.12s
tensorized | epoch 14 | top1=0.0461 top2=0.0744 top3=0.0976 top4=0.1173 top5=0.1346 loss=0.076287 time=581.51s
tensorized | epoch 15 | top1=0.0462 top2=0.0751 top3=0.0979 top4=0.1173 top5=0.1354 loss=0.075968 time=577.92s
tensorized | epoch 16 | top1=0.0497 top2=0.0794 top3=0.1024 top4=0.1235 top5=0.1414 loss=0.075813 time=577.92s
tensorized | epoch 17 | top1=0.0498 top2=0.0805 top3=0.1036 top4=0.1244 top5=0.1427 loss=0.075600 time=581.42s
tensorized | epoch 18 | top1=0.0520 top2=0.0833 top3=0.1075 top4=0.1279 top5=0.1459 loss=0.075497 time=581.31s
tensorized | epoch 19 | top1=0.0557 top2=0.0870 top3=0.1125 top4=0.1337 top5=0.1527 loss=0.075230 time=581.77s
tensorized | epoch 20 | top1=0.0521 top2=0.0835 top3=0.1072 top4=0.1274 top5=0.1453 loss=0.075266 time=581.45s
tensorized | epoch 21 | top1=0.0537 top2=0.0857 top3=0.1102 top4=0.1323 top5=0.1510 loss=0.075133 time=582.65s
tensorized | epoch 22 | top1=0.0556 top2=0.0883 top3=0.1139 top4=0.1357 top5=0.1559 loss=0.074868 time=581.81s
tensorized | epoch 23 | top1=0.0556 top2=0.0885 top3=0.1134 top4=0.1342 top5=0.1528 loss=0.074764 time=581.67s
tensorized | epoch 24 | top1=0.0568 top2=0.0900 top3=0.1152 top4=0.1372 top5=0.1563 loss=0.074652 time=577.77s
tensorized | epoch 25 | top1=0.0597 top2=0.0939 top3=0.1208 top4=0.1425 top5=0.1619 loss=0.074678 time=577.30s
tensorized | epoch 26 | top1=0.0576 top2=0.0918 top3=0.1178 top4=0.1396 top5=0.1587 loss=0.074471 time=577.03s
tensorized | epoch 27 | top1=0.0597 top2=0.0940 top3=0.1204 top4=0.1427 top5=0.1622 loss=0.074263 time=579.54s
tensorized | epoch 28 | top1=0.0614 top2=0.0959 top3=0.1218 top4=0.1439 top5=0.1640 loss=0.074137 time=577.22s
tensorized | epoch 29 | top1=0.0666 top2=0.1019 top3=0.1295 top4=0.1527 top5=0.1734 loss=0.073931 time=581.66s
tensorized | epoch 30 | top1=0.0646 top2=0.1005 top3=0.1271 top4=0.1492 top5=0.1694 loss=0.073714 time=582.06s
tensorized | epoch 31 | top1=0.0651 top2=0.1006 top3=0.1266 top4=0.1494 top5=0.1695 loss=0.073522 time=578.42s
tensorized | epoch 32 | top1=0.0673 top2=0.1045 top3=0.1328 top4=0.1558 top5=0.1759 loss=0.073338 time=577.49s
tensorized | epoch 33 | top1=0.0702 top2=0.1078 top3=0.1363 top4=0.1597 top5=0.1809 loss=0.073083 time=582.04s
tensorized | epoch 34 | top1=0.0705 top2=0.1097 top3=0.1379 top4=0.1624 top5=0.1829 loss=0.072835 time=581.73s
tensorized | epoch 35 | top1=0.0704 top2=0.1081 top3=0.1373 top4=0.1623 top5=0.1835 loss=0.072822 time=582.13s
tensorized | epoch 36 | top1=0.0726 top2=0.1119 top3=0.1411 top4=0.1653 top5=0.1864 loss=0.072779 time=577.58s
tensorized | epoch 37 | top1=0.0712 top2=0.1103 top3=0.1385 top4=0.1631 top5=0.1840 loss=0.072549 time=577.65s
tensorized | epoch 38 | top1=0.0704 top2=0.1088 top3=0.1380 top4=0.1622 top5=0.1831 loss=0.072675 time=578.11s
