tensorized | epoch 1 | top1=0.0160 top2=0.0326 top3=0.0480 top4=0.0632 top5=0.0774 loss=0.071320 time=33.73s
tensorized | epoch 2 | top1=0.0491 top2=0.0896 top3=0.1280 top4=0.1610 top5=0.1896 loss=0.066316 time=33.64s
tensorized | epoch 3 | top1=0.0772 top2=0.1347 top3=0.1820 top4=0.2222 top5=0.2580 loss=0.062912 time=33.70s
tensorized | epoch 4 | top1=0.0922 top2=0.1553 top3=0.2066 top4=0.2513 top5=0.2898 loss=0.061419 time=33.61s
tensorized | epoch 5 | top1=0.1018 top2=0.1682 top3=0.2219 top4=0.2671 top5=0.3061 loss=0.060382 time=33.68s
tensorized | epoch 6 | top1=0.1108 top2=0.1811 top3=0.2376 top4=0.2841 top5=0.3261 loss=0.059456 time=33.57s
tensorized | epoch 7 | top1=0.1201 top2=0.1947 top3=0.2512 top4=0.3002 top5=0.3416 loss=0.058729 time=33.69s
tensorized | epoch 8 | top1=0.1251 top2=0.2026 top3=0.2622 top4=0.3122 top5=0.3542 loss=0.058101 time=33.70s
tensorized | epoch 9 | top1=0.1315 top2=0.2092 top3=0.2709 top4=0.3217 top5=0.3647 loss=0.057586 time=33.63s
tensorized | epoch 10 | top1=0.1402 top2=0.2208 top3=0.2852 top4=0.3351 top5=0.3787 loss=0.056940 time=33.66s
tensorized | epoch 11 | top1=0.1429 top2=0.2266 top3=0.2895 top4=0.3410 top5=0.3855 loss=0.056512 time=33.51s
tensorized | epoch 12 | top1=0.1474 top2=0.2317 top3=0.2961 top4=0.3488 top5=0.3922 loss=0.056136 time=33.57s
tensorized | epoch 13 | top1=0.1524 top2=0.2393 top3=0.3056 top4=0.3577 top5=0.4016 loss=0.055666 time=33.59s
tensorized | epoch 14 | top1=0.1564 top2=0.2450 top3=0.3109 top4=0.3639 top5=0.4078 loss=0.055364 time=33.61s
tensorized | epoch 15 | top1=0.1598 top2=0.2489 top3=0.3139 top4=0.3673 top5=0.4114 loss=0.055121 time=33.72s
tensorized | epoch 16 | top1=0.1619 top2=0.2517 top3=0.3202 top4=0.3730 top5=0.4159 loss=0.054820 time=33.63s
tensorized | epoch 17 | top1=0.1643 top2=0.2548 top3=0.3228 top4=0.3773 top5=0.4214 loss=0.054597 time=33.69s
tensorized | epoch 18 | top1=0.1651 top2=0.2566 top3=0.3238 top4=0.3796 top5=0.4242 loss=0.054322 time=33.72s
tensorized | epoch 19 | top1=0.1677 top2=0.2616 top3=0.3309 top4=0.3880 top5=0.4332 loss=0.054091 time=33.57s
tensorized | epoch 20 | top1=0.1717 top2=0.2655 top3=0.3334 top4=0.3894 top5=0.4348 loss=0.053941 time=33.66s
tensorized | epoch 21 | top1=0.1779 top2=0.2721 top3=0.3404 top4=0.3952 top5=0.4391 loss=0.053569 time=33.59s
tensorized | epoch 22 | top1=0.1789 top2=0.2733 top3=0.3427 top4=0.3979 top5=0.4430 loss=0.053383 time=33.66s
tensorized | epoch 23 | top1=0.1826 top2=0.2776 top3=0.3464 top4=0.4029 top5=0.4474 loss=0.053178 time=33.68s
tensorized | epoch 24 | top1=0.1823 top2=0.2788 top3=0.3503 top4=0.4039 top5=0.4481 loss=0.053064 time=33.59s
tensorized | epoch 25 | top1=0.1866 top2=0.2833 top3=0.3540 top4=0.4084 top5=0.4535 loss=0.052754 time=33.61s
tensorized | epoch 26 | top1=0.1885 top2=0.2885 top3=0.3588 top4=0.4127 top5=0.4576 loss=0.052656 time=33.72s
tensorized | epoch 27 | top1=0.1918 top2=0.2902 top3=0.3600 top4=0.4132 top5=0.4584 loss=0.052414 time=33.63s
tensorized | epoch 28 | top1=0.1927 top2=0.2917 top3=0.3625 top4=0.4182 top5=0.4636 loss=0.052279 time=33.65s
tensorized | epoch 29 | top1=0.1951 top2=0.2933 top3=0.3657 top4=0.4231 top5=0.4671 loss=0.052142 time=33.52s
tensorized | epoch 30 | top1=0.1968 top2=0.2985 top3=0.3686 top4=0.4246 top5=0.4703 loss=0.052030 time=33.62s
tensorized | epoch 31 | top1=0.1966 top2=0.2956 top3=0.3682 top4=0.4236 top5=0.4687 loss=0.051905 time=33.63s
tensorized | epoch 32 | top1=0.1991 top2=0.2999 top3=0.3727 top4=0.4275 top5=0.4716 loss=0.051821 time=33.67s
tensorized | epoch 33 | top1=0.2018 top2=0.3035 top3=0.3754 top4=0.4327 top5=0.4774 loss=0.051573 time=33.70s
tensorized | epoch 34 | top1=0.2028 top2=0.3058 top3=0.3780 top4=0.4346 top5=0.4790 loss=0.051367 time=33.67s
tensorized | epoch 35 | top1=0.2048 top2=0.3080 top3=0.3819 top4=0.4376 top5=0.4819 loss=0.051261 time=33.54s
tensorized | epoch 36 | top1=0.2071 top2=0.3105 top3=0.3845 top4=0.4408 top5=0.4865 loss=0.051037 time=33.55s
tensorized | epoch 37 | top1=0.2096 top2=0.3136 top3=0.3869 top4=0.4436 top5=0.4871 loss=0.050859 time=33.62s
tensorized | epoch 38 | top1=0.2117 top2=0.3156 top3=0.3889 top4=0.4464 top5=0.4913 loss=0.050667 time=33.51s
tensorized | epoch 39 | top1=0.2144 top2=0.3193 top3=0.3916 top4=0.4497 top5=0.4937 loss=0.050480 time=33.65s
tensorized | epoch 40 | top1=0.2176 top2=0.3230 top3=0.3990 top4=0.4549 top5=0.4989 loss=0.050266 time=33.68s
tensorized | epoch 41 | top1=0.2178 top2=0.3253 top3=0.3991 top4=0.4575 top5=0.5018 loss=0.050139 time=33.67s
tensorized | epoch 42 | top1=0.2195 top2=0.3268 top3=0.4007 top4=0.4573 top5=0.5029 loss=0.050002 time=33.71s
tensorized | epoch 43 | top1=0.2220 top2=0.3291 top3=0.4038 top4=0.4615 top5=0.5076 loss=0.049845 time=33.64s
tensorized | epoch 44 | top1=0.2240 top2=0.3320 top3=0.4099 top4=0.4673 top5=0.5125 loss=0.049649 time=33.49s
tensorized | epoch 45 | top1=0.2284 top2=0.3378 top3=0.4124 top4=0.4681 top5=0.5138 loss=0.049452 time=33.54s
tensorized | epoch 46 | top1=0.2273 top2=0.3383 top3=0.4126 top4=0.4681 top5=0.5134 loss=0.049359 time=33.61s
tensorized | epoch 47 | top1=0.2303 top2=0.3384 top3=0.4147 top4=0.4710 top5=0.5158 loss=0.049250 time=33.68s
tensorized | epoch 48 | top1=0.2303 top2=0.3416 top3=0.4180 top4=0.4751 top5=0.5223 loss=0.049010 time=33.63s
