tensorized | epoch 1 | top1=0.0230 top2=0.0448 top3=0.0644 top4=0.0817 top5=0.0988 loss=0.070385 time=33.78s
tensorized | epoch 2 | top1=0.0475 top2=0.0895 top3=0.1278 top4=0.1609 top5=0.1915 loss=0.065843 time=33.65s
tensorized | epoch 3 | top1=0.0683 top2=0.1173 top3=0.1605 top4=0.1976 top5=0.2311 loss=0.064058 time=33.54s
tensorized | epoch 4 | top1=0.0789 top2=0.1351 top3=0.1826 top4=0.2214 top5=0.2555 loss=0.063016 time=33.75s
tensorized | epoch 5 | top1=0.0919 top2=0.1551 top3=0.2057 top4=0.2483 top5=0.2848 loss=0.061573 time=33.67s
tensorized | epoch 6 | top1=0.1003 top2=0.1709 top3=0.2242 top4=0.2689 top5=0.3097 loss=0.060285 time=33.68s
tensorized | epoch 7 | top1=0.1093 top2=0.1810 top3=0.2370 top4=0.2818 top5=0.3222 loss=0.059564 time=33.64s
tensorized | epoch 8 | top1=0.1137 top2=0.1898 top3=0.2478 top4=0.2962 top5=0.3376 loss=0.058902 time=33.73s
tensorized | epoch 9 | top1=0.1214 top2=0.1964 top3=0.2575 top4=0.3057 top5=0.3473 loss=0.058396 time=33.63s
tensorized | epoch 10 | top1=0.1275 top2=0.2050 top3=0.2651 top4=0.3144 top5=0.3560 loss=0.057847 time=33.66s
tensorized | epoch 11 | top1=0.1315 top2=0.2125 top3=0.2738 top4=0.3244 top5=0.3653 loss=0.057515 time=33.54s
tensorized | epoch 12 | top1=0.1361 top2=0.2174 top3=0.2790 top4=0.3286 top5=0.3696 loss=0.057236 time=33.66s
tensorized | epoch 13 | top1=0.1386 top2=0.2216 top3=0.2821 top4=0.3327 top5=0.3748 loss=0.056976 time=33.68s
tensorized | epoch 14 | top1=0.1403 top2=0.2215 top3=0.2845 top4=0.3361 top5=0.3794 loss=0.056718 time=33.61s
tensorized | epoch 15 | top1=0.1423 top2=0.2271 top3=0.2900 top4=0.3418 top5=0.3845 loss=0.056491 time=33.65s
tensorized | epoch 16 | top1=0.1458 top2=0.2303 top3=0.2921 top4=0.3442 top5=0.3876 loss=0.056294 time=33.63s
tensorized | epoch 17 | top1=0.1460 top2=0.2305 top3=0.2957 top4=0.3469 top5=0.3909 loss=0.056215 time=33.66s
tensorized | epoch 18 | top1=0.1497 top2=0.2352 top3=0.2982 top4=0.3505 top5=0.3953 loss=0.055936 time=33.66s
tensorized | epoch 19 | top1=0.1501 top2=0.2378 top3=0.3038 top4=0.3556 top5=0.3986 loss=0.055822 time=33.57s
tensorized | epoch 20 | top1=0.1553 top2=0.2421 top3=0.3082 top4=0.3604 top5=0.4025 loss=0.055595 time=33.55s
tensorized | epoch 21 | top1=0.1557 top2=0.2429 top3=0.3089 top4=0.3612 top5=0.4042 loss=0.055482 time=33.57s
tensorized | epoch 22 | top1=0.1577 top2=0.2458 top3=0.3145 top4=0.3657 top5=0.4105 loss=0.055236 time=33.60s
tensorized | epoch 23 | top1=0.1561 top2=0.2459 top3=0.3132 top4=0.3658 top5=0.4107 loss=0.055219 time=33.70s
tensorized | epoch 24 | top1=0.1620 top2=0.2515 top3=0.3177 top4=0.3708 top5=0.4128 loss=0.055053 time=33.65s
tensorized | epoch 25 | top1=0.1625 top2=0.2499 top3=0.3163 top4=0.3690 top5=0.4124 loss=0.054970 time=33.70s
tensorized | epoch 26 | top1=0.1614 top2=0.2520 top3=0.3185 top4=0.3711 top5=0.4147 loss=0.054838 time=33.74s
tensorized | epoch 27 | top1=0.1625 top2=0.2525 top3=0.3208 top4=0.3736 top5=0.4184 loss=0.054758 time=33.61s
tensorized | epoch 28 | top1=0.1662 top2=0.2576 top3=0.3252 top4=0.3787 top5=0.4226 loss=0.054560 time=-171.93s
tensorized | epoch 29 | top1=0.1672 top2=0.2575 top3=0.3245 top4=0.3773 top5=0.4207 loss=0.054533 time=33.60s
tensorized | epoch 30 | top1=0.1675 top2=0.2594 top3=0.3276 top4=0.3817 top5=0.4255 loss=0.054420 time=33.92s
tensorized | epoch 31 | top1=0.1698 top2=0.2609 top3=0.3309 top4=0.3845 top5=0.4278 loss=0.054298 time=33.69s
tensorized | epoch 32 | top1=0.1709 top2=0.2621 top3=0.3303 top4=0.3859 top5=0.4307 loss=0.054167 time=33.73s
tensorized | epoch 33 | top1=0.1705 top2=0.2640 top3=0.3319 top4=0.3854 top5=0.4295 loss=0.054169 time=33.69s
tensorized | epoch 34 | top1=0.1749 top2=0.2666 top3=0.3341 top4=0.3867 top5=0.4294 loss=0.054037 time=33.89s
tensorized | epoch 35 | top1=0.1737 top2=0.2652 top3=0.3341 top4=0.3886 top5=0.4316 loss=0.053982 time=33.58s
tensorized | epoch 36 | top1=0.1734 top2=0.2668 top3=0.3366 top4=0.3902 top5=0.4336 loss=0.053975 time=33.60s
tensorized | epoch 37 | top1=0.1739 top2=0.2671 top3=0.3371 top4=0.3914 top5=0.4378 loss=0.053772 time=33.62s
tensorized | epoch 38 | top1=0.1760 top2=0.2691 top3=0.3380 top4=0.3935 top5=0.4370 loss=0.053727 time=33.69s
tensorized | epoch 39 | top1=0.1743 top2=0.2692 top3=0.3384 top4=0.3923 top5=0.4362 loss=0.053723 time=33.65s
tensorized | epoch 40 | top1=0.1745 top2=0.2697 top3=0.3385 top4=0.3937 top5=0.4401 loss=0.053642 time=33.67s
tensorized | epoch 41 | top1=0.1769 top2=0.2701 top3=0.3410 top4=0.3961 top5=0.4423 loss=0.053520 time=33.75s
tensorized | epoch 42 | top1=0.1778 top2=0.2728 top3=0.3412 top4=0.3965 top5=0.4406 loss=0.053520 time=33.77s
tensorized | epoch 43 | top1=0.1796 top2=0.2722 top3=0.3427 top4=0.3967 top5=0.4420 loss=0.053436 time=33.66s
tensorized | epoch 44 | top1=0.1805 top2=0.2753 top3=0.3449 top4=0.4001 top5=0.4441 loss=0.053388 time=33.70s
tensorized | epoch 45 | top1=0.1823 top2=0.2774 top3=0.3467 top4=0.4019 top5=0.4462 loss=0.053241 time=33.65s
tensorized | epoch 46 | top1=0.1849 top2=0.2804 top3=0.3502 top4=0.4048 top5=0.4484 loss=0.053145 time=33.70s
tensorized | epoch 47 | top1=0.1852 top2=0.2797 top3=0.3503 top4=0.4034 top5=0.4499 loss=0.053124 time=33.66s
tensorized | epoch 48 | top1=0.1835 top2=0.2777 top3=0.3487 top4=0.4042 top5=0.4488 loss=0.053155 time=33.60s
tensorized | epoch 49 | top1=0.1849 top2=0.2806 top3=0.3517 top4=0.4072 top5=0.4524 loss=0.053001 time=33.57s
tensorized | epoch 50 | top1=0.1852 top2=0.2837 top3=0.3537 top4=0.4080 top5=0.4517 loss=0.052900 time=33.66s
tensorized | epoch 51 | top1=0.1855 top2=0.2822 top3=0.3516 top4=0.4058 top5=0.4503 loss=0.052900 time=33.69s
tensorized | epoch 52 | top1=0.1856 top2=0.2833 top3=0.3539 top4=0.4097 top5=0.4532 loss=0.052828 time=33.59s
tensorized | epoch 53 | top1=0.1867 top2=0.2839 top3=0.3536 top4=0.4075 top5=0.4533 loss=0.052696 time=33.67s
tensorized | epoch 54 | top1=0.1896 top2=0.2864 top3=0.3567 top4=0.4131 top5=0.4569 loss=0.052665 time=33.62s
tensorized | epoch 55 | top1=0.1870 top2=0.2856 top3=0.3569 top4=0.4124 top5=0.4579 loss=0.052666 time=33.65s
tensorized | epoch 56 | top1=0.1871 top2=0.2866 top3=0.3575 top4=0.4135 top5=0.4589 loss=0.052544 time=33.55s
tensorized | epoch 57 | top1=0.1917 top2=0.2889 top3=0.3598 top4=0.4155 top5=0.4611 loss=0.052498 time=33.61s
tensorized | epoch 58 | top1=0.1930 top2=0.2920 top3=0.3635 top4=0.4172 top5=0.4616 loss=0.052344 time=33.75s
tensorized | epoch 59 | top1=0.1926 top2=0.2922 top3=0.3631 top4=0.4157 top5=0.4601 loss=0.052341 time=33.70s
tensorized | epoch 60 | top1=0.1925 top2=0.2910 top3=0.3636 top4=0.4195 top5=0.4637 loss=0.052246 time=33.64s
tensorized | epoch 61 | top1=0.1922 top2=0.2893 top3=0.3626 top4=0.4189 top5=0.4638 loss=0.052215 time=33.70s
tensorized | epoch 62 | top1=0.1936 top2=0.2932 top3=0.3641 top4=0.4213 top5=0.4664 loss=0.052181 time=33.66s
tensorized | epoch 63 | top1=0.1945 top2=0.2928 top3=0.3653 top4=0.4239 top5=0.4686 loss=0.052100 time=33.45s
tensorized | epoch 64 | top1=0.1933 top2=0.2949 top3=0.3646 top4=0.4219 top5=0.4677 loss=0.052052 time=33.70s
tensorized | epoch 65 | top1=0.1960 top2=0.2963 top3=0.3676 top4=0.4224 top5=0.4677 loss=0.051988 time=33.60s
tensorized | epoch 66 | top1=0.1969 top2=0.2966 top3=0.3682 top4=0.4248 top5=0.4705 loss=0.051949 time=33.72s
tensorized | epoch 67 | top1=0.1960 top2=0.2964 top3=0.3693 top4=0.4245 top5=0.4704 loss=0.051872 time=33.77s
tensorized | epoch 68 | top1=0.1966 top2=0.2996 top3=0.3715 top4=0.4279 top5=0.4732 loss=0.051776 time=33.77s
tensorized | epoch 69 | top1=0.1974 top2=0.2993 top3=0.3721 top4=0.4291 top5=0.4749 loss=0.051768 time=33.73s
tensorized | epoch 70 | top1=0.1993 top2=0.3009 top3=0.3740 top4=0.4311 top5=0.4763 loss=0.051685 time=33.61s
tensorized | epoch 71 | top1=0.1977 top2=0.3009 top3=0.3714 top4=0.4277 top5=0.4741 loss=0.051558 time=33.64s
