tensorized | epoch 1 | top1=0.0050 top2=0.0100 top3=0.0150 top4=0.0200 top5=0.0250 loss=0.085154 time=581.61s
tensorized | epoch 2 | top1=0.0047 top2=0.0094 top3=0.0142 top4=0.0192 top5=0.0240 loss=0.083012 time=581.17s
tensorized | epoch 3 | top1=0.0047 top2=0.0092 top3=0.0144 top4=0.0189 top5=0.0236 loss=0.082868 time=580.68s
tensorized | epoch 4 | top1=0.0090 top2=0.0169 top3=0.0247 top4=0.0325 top5=0.0399 loss=0.081912 time=577.18s
tensorized | epoch 5 | top1=0.0137 top2=0.0253 top3=0.0361 top4=0.0465 top5=0.0567 loss=0.080927 time=581.01s
tensorized | epoch 6 | top1=0.0151 top2=0.0285 top3=0.0408 top4=0.0525 top5=0.0634 loss=0.080463 time=580.87s
tensorized | epoch 7 | top1=0.0179 top2=0.0331 top3=0.0466 top4=0.0592 top5=0.0712 loss=0.079961 time=580.99s
tensorized | epoch 8 | top1=0.0217 top2=0.0379 top3=0.0533 top4=0.0671 top5=0.0804 loss=0.079501 time=580.12s
tensorized | epoch 9 | top1=0.0247 top2=0.0435 top3=0.0600 top4=0.0751 top5=0.0891 loss=0.078970 time=580.61s
tensorized | epoch 10 | top1=0.0290 top2=0.0505 top3=0.0688 top4=0.0854 top5=0.1005 loss=0.078366 time=580.25s
tensorized | epoch 11 | top1=0.0341 top2=0.0576 top3=0.0770 top4=0.0931 top5=0.1089 loss=0.077946 time=581.17s
tensorized | epoch 12 | top1=0.0342 top2=0.0582 top3=0.0769 top4=0.0944 top5=0.1102 loss=0.077590 time=580.04s
tensorized | epoch 13 | top1=0.0381 top2=0.0634 top3=0.0840 top4=0.1022 top5=0.1181 loss=0.077172 time=579.98s
tensorized | epoch 14 | top1=0.0409 top2=0.0676 top3=0.0890 top4=0.1077 top5=0.1247 loss=0.076783 time=580.23s
tensorized | epoch 15 | top1=0.0452 top2=0.0737 top3=0.0966 top4=0.1166 top5=0.1350 loss=0.076303 time=579.74s
tensorized | epoch 16 | top1=0.0484 top2=0.0779 top3=0.1010 top4=0.1211 top5=0.1396 loss=0.075834 time=579.46s
tensorized | epoch 17 | top1=0.0532 top2=0.0845 top3=0.1101 top4=0.1319 top5=0.1520 loss=0.075208 time=580.49s
