tensor | epoch 1 | top1=0.0047 top2=0.0095 top3=0.0147 top4=0.0199 top5=0.0249 loss=0.170422 time=462.35s
tensor | epoch 2 | top1=0.0218 top2=0.0384 top3=0.0536 top4=0.0672 top5=0.0805 loss=0.159184 time=462.87s
tensor | epoch 3 | top1=0.0376 top2=0.0624 top3=0.0835 top4=0.1023 top5=0.1194 loss=0.154198 time=463.25s
tensor | epoch 4 | top1=0.0361 top2=0.0616 top3=0.0827 top4=0.1020 top5=0.1185 loss=0.153754 time=463.07s
tensor | epoch 5 | top1=0.0374 top2=0.0644 top3=0.0865 top4=0.1057 top5=0.1231 loss=0.153013 time=462.84s
tensor | epoch 6 | top1=0.0431 top2=0.0715 top3=0.0942 top4=0.1137 top5=0.1311 loss=0.151698 time=463.03s
tensor | epoch 7 | top1=0.0470 top2=0.0776 top3=0.1028 top4=0.1245 top5=0.1439 loss=0.150325 time=462.75s
tensor | epoch 8 | top1=0.0521 top2=0.0854 top3=0.1126 top4=0.1351 top5=0.1553 loss=0.148487 time=463.12s
tensor | epoch 9 | top1=0.0620 top2=0.0978 top3=0.1262 top4=0.1503 top5=0.1711 loss=0.146168 time=462.88s
tensor | epoch 10 | top1=0.0646 top2=0.1023 top3=0.1316 top4=0.1555 top5=0.1766 loss=0.144554 time=463.61s
tensor | epoch 11 | top1=0.0735 top2=0.1152 top3=0.1460 top4=0.1710 top5=0.1932 loss=0.143206 time=462.79s
tensor | epoch 12 | top1=0.0790 top2=0.1221 top3=0.1535 top4=0.1789 top5=0.2021 loss=0.141471 time=462.78s
tensor | epoch 13 | top1=0.0859 top2=0.1308 top3=0.1630 top4=0.1895 top5=0.2123 loss=0.139818 time=462.91s
tensor | epoch 14 | top1=0.0962 top2=0.1448 top3=0.1792 top4=0.2070 top5=0.2304 loss=0.138274 time=463.00s
tensor | epoch 15 | top1=0.0956 top2=0.1432 top3=0.1777 top4=0.2048 top5=0.2293 loss=0.137544 time=462.96s
tensor | epoch 16 | top1=0.1000 top2=0.1489 top3=0.1841 top4=0.2117 top5=0.2357 loss=0.136686 time=462.62s
tensor | epoch 17 | top1=0.1069 top2=0.1585 top3=0.1952 top4=0.2235 top5=0.2483 loss=0.135583 time=462.69s
tensor | epoch 18 | top1=0.1068 top2=0.1581 top3=0.1950 top4=0.2243 top5=0.2482 loss=0.134933 time=462.79s
tensor | epoch 19 | top1=0.1091 top2=0.1608 top3=0.1966 top4=0.2253 top5=0.2493 loss=0.134219 time=462.82s
tensor | epoch 20 | top1=0.1181 top2=0.1722 top3=0.2100 top4=0.2392 top5=0.2637 loss=0.132436 time=462.81s
tensor | epoch 21 | top1=0.1074 top2=0.1558 top3=0.1888 top4=0.2147 top5=0.2366 loss=0.136285 time=462.47s
tensor | epoch 22 | top1=0.0740 top2=0.1105 top3=0.1377 top4=0.1594 top5=0.1780 loss=0.144536 time=462.29s
