original | epoch 1 | top1=0.0051 top2=0.0099 top3=0.0152 top4=0.0201 top5=0.0255 loss=0.169916 time=218.75s
original | epoch 2 | top1=0.0229 top2=0.0411 top3=0.0562 top4=0.0703 top5=0.0837 loss=0.159186 time=218.98s
original | epoch 3 | top1=0.0364 top2=0.0619 top3=0.0823 top4=0.1008 top5=0.1169 loss=0.154249 time=218.86s
original | epoch 4 | top1=0.0391 top2=0.0649 top3=0.0862 top4=0.1049 top5=0.1221 loss=0.153512 time=218.94s
original | epoch 5 | top1=0.0373 top2=0.0631 top3=0.0853 top4=0.1039 top5=0.1197 loss=0.153584 time=218.70s
original | epoch 6 | top1=0.0420 top2=0.0694 top3=0.0925 top4=0.1117 top5=0.1295 loss=0.152930 time=219.18s
original | epoch 7 | top1=0.0410 top2=0.0684 top3=0.0909 top4=0.1105 top5=0.1277 loss=0.152472 time=219.70s
original | epoch 8 | top1=0.0433 top2=0.0722 top3=0.0949 top4=0.1153 top5=0.1333 loss=0.151824 time=219.01s
original | epoch 9 | top1=0.0479 top2=0.0778 top3=0.1022 top4=0.1233 top5=0.1425 loss=0.150688 time=218.89s
original | epoch 10 | top1=0.0501 top2=0.0809 top3=0.1055 top4=0.1265 top5=0.1460 loss=0.149770 time=218.75s
original | epoch 11 | top1=0.0550 top2=0.0874 top3=0.1127 top4=0.1349 top5=0.1543 loss=0.148560 time=219.09s
original | epoch 12 | top1=0.0601 top2=0.0941 top3=0.1208 top4=0.1436 top5=0.1633 loss=0.146692 time=219.30s
original | epoch 13 | top1=0.0669 top2=0.1047 top3=0.1334 top4=0.1575 top5=0.1788 loss=0.145336 time=219.08s
original | epoch 14 | top1=0.0709 top2=0.1103 top3=0.1405 top4=0.1648 top5=0.1858 loss=0.144000 time=218.86s
original | epoch 15 | top1=0.0774 top2=0.1195 top3=0.1503 top4=0.1760 top5=0.1976 loss=0.142893 time=219.18s
original | epoch 16 | top1=0.0821 top2=0.1266 top3=0.1588 top4=0.1855 top5=0.2079 loss=0.141561 time=219.06s
original | epoch 17 | top1=0.0861 top2=0.1304 top3=0.1616 top4=0.1888 top5=0.2120 loss=0.140315 time=219.29s
original | epoch 18 | top1=0.0907 top2=0.1362 top3=0.1692 top4=0.1965 top5=0.2196 loss=0.139519 time=218.91s
original | epoch 19 | top1=0.0968 top2=0.1441 top3=0.1784 top4=0.2048 top5=0.2276 loss=0.138040 time=219.18s
original | epoch 20 | top1=0.1008 top2=0.1489 top3=0.1841 top4=0.2118 top5=0.2351 loss=0.137440 time=219.30s
original | epoch 21 | top1=0.1020 top2=0.1504 top3=0.1849 top4=0.2130 top5=0.2360 loss=0.136154 time=218.99s
original | epoch 22 | top1=0.1076 top2=0.1572 top3=0.1931 top4=0.2212 top5=0.2447 loss=0.135446 time=218.83s
original | epoch 23 | top1=0.1103 top2=0.1606 top3=0.1962 top4=0.2241 top5=0.2474 loss=0.135097 time=219.10s
original | epoch 24 | top1=0.1106 top2=0.1619 top3=0.1977 top4=0.2254 top5=0.2490 loss=0.133911 time=218.80s
original | epoch 25 | top1=0.1158 top2=0.1682 top3=0.2043 top4=0.2334 top5=0.2574 loss=0.133020 time=218.99s
original | epoch 26 | top1=0.1171 top2=0.1699 top3=0.2069 top4=0.2355 top5=0.2595 loss=0.132602 time=218.99s
original | epoch 27 | top1=0.1217 top2=0.1752 top3=0.2123 top4=0.2408 top5=0.2648 loss=0.131778 time=218.93s
original | epoch 28 | top1=0.1270 top2=0.1833 top3=0.2205 top4=0.2497 top5=0.2739 loss=0.131275 time=219.13s
