Train epoch 1: top1=0.28633999824523926%, top2=0.469539999961853%, top3=0.5940200090408325%, top4=0.6910200119018555%, top5=0.7691799998283386%, loss=0.06149786888122558, time=513.147079706192s
Train epoch 2: top1=0.4132999777793884%, top2=0.625819981098175%, top3=0.7484399676322937%, top4=0.8300399780273438%, top5=0.8868599534034729%, loss=0.050776135687828065, time=513.8332965373993s
Train epoch 3: top1=0.4341000020503998%, top2=0.648419976234436%, top3=0.7693199515342712%, top4=0.8464199900627136%, top5=0.8999199867248535%, loss=0.04894345750808716, time=513.760904788971s
Train epoch 4: top1=0.4535199999809265%, top2=0.6642000079154968%, top3=0.7795599699020386%, top4=0.8534999489784241%, top5=0.9049599766731262%, loss=0.04767922335863113, time=513.3597495555878s
Train epoch 5: top1=0.4597399830818176%, top2=0.6743800044059753%, top3=0.7864800095558167%, top4=0.8598799705505371%, top5=0.9102399945259094%, loss=0.04687624054431915, time=514.0153603553772s
Train epoch 6: top1=0.46647998690605164%, top2=0.6786999702453613%, top3=0.7933399677276611%, top4=0.8636199831962585%, top5=0.9140599966049194%, loss=0.04622756982207298, time=513.8913073539734s
Train epoch 7: top1=0.47175997495651245%, top2=0.6840999722480774%, top3=0.7958199977874756%, top4=0.8670199513435364%, top5=0.915399968624115%, loss=0.045833236273527145, time=514.3141598701477s
Train epoch 8: top1=0.4817599952220917%, top2=0.6916999816894531%, top3=0.8023999929428101%, top4=0.8733800053596497%, top5=0.9210599660873413%, loss=0.04508522344470024, time=513.9199614524841s
Train epoch 9: top1=0.48573997616767883%, top2=0.6967799663543701%, top3=0.8063799738883972%, top4=0.875819981098175%, top5=0.9230999946594238%, loss=0.044583128122091295, time=513.1456537246704s
Train epoch 10: top1=0.4925599992275238%, top2=0.7014399766921997%, top3=0.8115400075912476%, top4=0.8799799680709839%, top5=0.9254799485206604%, loss=0.04419154587507248, time=513.2992289066315s
Train epoch 11: top1=0.49125999212265015%, top2=0.7033399939537048%, top3=0.8108800053596497%, top4=0.8799600005149841%, top5=0.9256399869918823%, loss=0.04410997846841812, time=628.55353307724s
Train epoch 12: top1=0.4878999888896942%, top2=0.7019400000572205%, top3=0.8107999563217163%, top4=0.8804799914360046%, top5=0.9254599809646606%, loss=0.044296170889139175, time=904.046781539917s
Train epoch 13: top1=0.4932200014591217%, top2=0.7055400013923645%, top3=0.8130799531936646%, top4=0.8814799785614014%, top5=0.925879955291748%, loss=0.043927470384836194, time=556.6171138286591s
Train epoch 14: top1=0.4909399747848511%, top2=0.7023400068283081%, top3=0.8107399940490723%, top4=0.8796599507331848%, top5=0.9264000058174133%, loss=0.04412223587274551, time=513.668060541153s
Train epoch 15: top1=0.47891998291015625%, top2=0.6929199695587158%, top3=0.8044599890708923%, top4=0.8741199970245361%, top5=0.9217199683189392%, loss=0.045072701812982556, time=513.3495149612427s
Train epoch 16: top1=0.4763599932193756%, top2=0.6901999711990356%, top3=0.801859974861145%, top4=0.8741999864578247%, top5=0.9215999841690063%, loss=0.045216404980421065, time=513.6492974758148s
Train epoch 17: top1=0.46592000126838684%, top2=0.6784200072288513%, top3=0.7951599955558777%, top4=0.8697599768638611%, top5=0.9173799753189087%, loss=0.04597516973376274, time=513.8546538352966s
Train epoch 18: top1=0.4649199843406677%, top2=0.67631995677948%, top3=0.7930600047111511%, top4=0.8675999641418457%, top5=0.9163999557495117%, loss=0.046311394619941715, time=514.1344478130341s
Train epoch 19: top1=0.46633997559547424%, top2=0.6815999746322632%, top3=0.7967999577522278%, top4=0.8706199526786804%, top5=0.9191399812698364%, loss=0.04589501584410667, time=513.9660432338715s
Train epoch 20: top1=0.4723599851131439%, top2=0.6861799955368042%, top3=0.7989199757575989%, top4=0.8707000017166138%, top5=0.9206399917602539%, loss=0.045489411656856535, time=514.1289417743683s
Train epoch 21: top1=0.4725399911403656%, top2=0.6851999759674072%, top3=0.7996000051498413%, top4=0.8727999925613403%, top5=0.9201599955558777%, loss=0.04554141315817833, time=516.158620595932s
Train epoch 22: top1=0.4570399820804596%, top2=0.6716600060462952%, top3=0.7867199778556824%, top4=0.8614199757575989%, top5=0.9127199649810791%, loss=0.046909072642326355, time=517.2500648498535s
Train epoch 23: top1=0.45819997787475586%, top2=0.672760009765625%, top3=0.7910000085830688%, top4=0.8647399544715881%, top5=0.9147199988365173%, loss=0.04669949604392052, time=514.0997593402863s
Train epoch 24: top1=0.45239999890327454%, top2=0.6670799851417542%, top3=0.7846399545669556%, top4=0.860539972782135%, top5=0.9120000004768372%, loss=0.047108649394512175, time=514.4266920089722s
Train epoch 25: top1=0.46559998393058777%, top2=0.6783199906349182%, top3=0.7939599752426147%, top4=0.8687399625778198%, top5=0.9175799489021301%, loss=0.04608785413980484, time=514.2064490318298s
Train epoch 26: top1=0.46663999557495117%, top2=0.6795399785041809%, top3=0.7949199676513672%, top4=0.8666599988937378%, top5=0.9165399670600891%, loss=0.04609802145004272, time=513.7686092853546s
Train epoch 27: top1=0.42739999294281006%, top2=0.6394000053405762%, top3=0.762999951839447%, top4=0.8430399894714355%, top5=0.8997399806976318%, loss=0.04952297010183335, time=514.6969928741455s
Train epoch 28: top1=0.3980799913406372%, top2=0.6132199764251709%, top3=0.7409200072288513%, top4=0.8268799781799316%, top5=0.885919988155365%, loss=0.051588493628501896, time=514.7229886054993s
Train epoch 29: top1=0.41033998131752014%, top2=0.6246599555015564%, top3=0.7519800066947937%, top4=0.8355000019073486%, top5=0.893559992313385%, loss=0.05052092147827148, time=514.5452754497528s
Train epoch 30: top1=0.39579999446868896%, top2=0.6113199591636658%, top3=0.7378599643707275%, top4=0.823639988899231%, top5=0.8847599625587463%, loss=0.05193955150842667, time=514.4624905586243s
Train epoch 31: top1=0.36945998668670654%, top2=0.5806399583816528%, top3=0.7102999687194824%, top4=0.7996399998664856%, top5=0.8653199672698975%, loss=0.05422809178829193, time=514.158703327179s
Train epoch 32: top1=0.3910599946975708%, top2=0.598800003528595%, top3=0.7272399663925171%, top4=0.8156799674034119%, top5=0.8780199885368347%, loss=0.05266825841903686, time=514.8119060993195s
Train epoch 33: top1=0.4074399769306183%, top2=0.6174399852752686%, top3=0.7442799806594849%, top4=0.829759955406189%, top5=0.8881999850273132%, loss=0.051286833205223085, time=514.2571852207184s
